日期,净值,总资产,收益率,持仓占比,现金占比,上证指数,收益率,深证成指,收益率,中小板指,收益率,创业板指,收益率
2014-12-31,1.0000,100000000.00,0.00%,0.00%,100.00%,3234.67,0.00%,11014.62,0.00%,5461.18,0.00%,1471.76,0.00%
2015-01-05,1.0040,100402862.60,0.40%,76.37%,23.63%,3350.52,3.58%,11520.58,4.59%,5589.77,2.35%,1464.77,-0.47%
2015-01-06,1.0190,101902932.92,1.90%,79.91%,20.09%,3351.45,3.61%,11667.96,5.93%,5705.73,4.48%,1539.83,4.63%
2015-01-07,1.0183,101826220.45,1.83%,80.40%,19.60%,3373.95,4.31%,11613.36,5.44%,5663.68,3.71%,1523.39,3.51%
2015-01-08,1.0151,101505621.36,1.51%,81.26%,18.74%,3293.46,1.82%,11465.13,4.09%,5674.31,3.90%,1541.89,4.77%
2015-01-09,1.0093,100927091.90,0.93%,82.08%,17.92%,3285.40,1.57%,11324.75,2.82%,5667.02,3.77%,1553.24,5.54%
2015-01-12,0.9967,99672312.29,-0.33%,85.61%,14.39%,3229.32,-0.17%,11285.17,2.46%,5679.93,4.01%,1586.12,7.77%
2015-01-13,1.0107,101074679.60,1.07%,86.09%,13.91%,3235.30,0.02%,11355.80,3.10%,5825.68,6.67%,1601.17,8.79%
2015-01-14,1.0068,100676498.45,0.68%,86.52%,13.48%,3222.43,-0.38%,11237.78,2.03%,5784.22,5.92%,1588.01,7.90%
2015-01-15,1.0141,101410295.96,1.41%,86.85%,13.15%,3336.45,3.15%,11483.67,4.26%,5790.74,6.03%,1586.34,7.79%
2015-01-16,1.0254,102541950.08,2.54%,87.11%,12.89%,3376.50,4.38%,11532.79,4.70%,5890.85,7.87%,1639.56,11.40%
2015-01-19,0.9965,99650384.35,-0.35%,88.00%,12.00%,3116.35,-3.66%,10770.92,-2.21%,5743.56,5.17%,1630.07,10.76%
2015-01-20,1.0292,102916158.19,2.92%,88.46%,11.54%,3173.05,-1.90%,10996.48,-0.16%,5960.64,9.15%,1700.85,15.57%
2015-01-21,1.0518,105181071.98,5.18%,88.75%,11.25%,3323.61,2.75%,11372.17,3.25%,6081.27,11.35%,1722.58,17.04%
2015-01-22,1.0663,106625529.04,6.63%,88.90%,11.10%,3343.34,3.36%,11471.21,4.15%,6147.43,12.57%,1744.04,18.50%
2015-01-23,1.0573,105728409.74,5.73%,88.81%,11.19%,3351.76,3.62%,11436.29,3.83%,6056.39,10.90%,1697.29,15.32%
2015-01-26,1.0769,107685863.39,7.69%,89.09%,10.91%,3383.17,4.59%,11686.96,6.10%,6206.10,13.64%,1739.79,18.21%
2015-01-27,1.0822,108223393.88,8.22%,89.14%,10.86%,3352.96,3.66%,11551.87,4.88%,6236.16,14.19%,1743.68,18.48%
2015-01-28,1.0781,107812464.24,7.81%,89.21%,10.79%,3305.74,2.20%,11354.20,3.08%,6166.50,12.92%,1731.41,17.64%
2015-01-29,1.0726,107258175.29,7.26%,89.19%,10.81%,3262.30,0.85%,11249.04,2.13%,6138.39,12.40%,1711.37,16.28%
2015-01-30,1.0614,106144408.42,6.14%,89.27%,10.73%,3210.36,-0.75%,11150.69,1.24%,6046.60,10.72%,1680.58,14.19%
2015-02-02,1.0574,105739571.97,5.74%,89.57%,10.43%,3128.30,-3.29%,10963.13,-0.47%,6022.81,10.28%,1696.83,15.29%
2015-02-03,1.0742,107415420.94,7.42%,89.85%,10.15%,3204.90,-0.92%,11209.19,1.77%,6190.70,13.36%,1750.91,18.97%
2015-02-04,1.0721,107212235.91,7.21%,89.87%,10.13%,3174.12,-1.87%,11116.54,0.93%,6164.85,12.88%,1757.74,19.43%
2015-02-05,1.0687,106868007.73,6.87%,89.87%,10.13%,3136.53,-3.03%,11065.58,0.46%,6151.99,12.65%,1774.31,20.56%
2015-02-06,1.0493,104930873.04,4.93%,89.72%,10.28%,3075.90,-4.91%,10791.09,-2.03%,6025.35,10.33%,1730.97,17.61%
2015-02-09,1.0428,104278287.64,4.28%,89.89%,10.11%,3095.12,-4.31%,10868.13,-1.33%,5994.96,9.77%,1708.85,16.11%
2015-02-10,1.0541,105405459.96,5.41%,90.04%,9.96%,3141.59,-2.88%,11136.62,1.11%,6141.68,12.46%,1747.68,18.75%
2015-02-11,1.0661,106608503.52,6.61%,90.19%,9.81%,3157.70,-2.38%,11265.62,2.28%,6224.93,13.99%,1772.85,20.46%
2015-02-12,1.0750,107497448.47,7.50%,90.31%,9.69%,3173.41,-1.89%,11302.73,2.62%,6259.52,14.62%,1788.81,21.54%
2015-02-13,1.0910,109103579.65,9.10%,90.45%,9.55%,3203.83,-0.95%,11443.04,3.89%,6358.96,16.44%,1825.49,24.03%
2015-02-16,1.1107,111072545.98,11.07%,90.65%,9.35%,3222.36,-0.38%,11595.25,5.27%,6546.48,19.87%,1896.63,28.87%
2015-02-17,1.1169,111690733.81,11.69%,90.74%,9.26%,3246.90,0.38%,11718.55,6.39%,6568.06,20.27%,1894.31,28.71%
2015-02-25,1.1149,111492996.86,11.49%,90.72%,9.28%,3228.84,-0.18%,11539.70,4.77%,6516.06,19.32%,1876.75,27.52%
2015-02-26,1.1244,112435966.28,12.44%,90.80%,9.20%,3298.36,1.97%,11750.78,6.68%,6568.74,20.28%,1880.39,27.76%
2015-02-27,1.1360,113595046.05,13.60%,90.90%,9.10%,3310.30,2.34%,11757.67,6.75%,6630.62,21.41%,1928.04,31.00%
2015-03-02,1.1584,115841197.07,15.84%,91.11%,8.89%,3336.28,3.14%,11884.01,7.89%,6738.64,23.39%,1986.99,35.01%
2015-03-03,1.1528,115279621.69,15.28%,91.06%,8.94%,3263.05,0.88%,11526.21,4.64%,6645.02,21.68%,1961.74,33.29%
2015-03-04,1.1719,117188412.21,17.19%,91.21%,8.79%,3279.53,1.39%,11655.08,5.81%,6764.73,23.87%,2009.83,36.56%
2015-03-05,1.1777,117766858.23,17.77%,91.25%,8.75%,3248.48,0.43%,11566.38,5.01%,6802.25,24.56%,2014.79,36.90%
2015-03-06,1.1642,116419666.06,16.42%,91.15%,8.85%,3241.18,0.20%,11392.40,3.43%,6640.89,21.60%,1951.40,32.59%
2015-03-09,1.1794,117938946.28,17.94%,91.30%,8.70%,3302.40,2.09%,11533.23,4.71%,6736.91,23.36%,1994.39,35.51%
2015-03-10,1.1932,119316216.47,19.32%,91.40%,8.60%,3286.07,1.59%,11556.65,4.92%,6870.97,25.81%,2045.32,38.97%
2015-03-11,1.1934,119342193.95,19.34%,91.44%,8.56%,3290.89,1.74%,11525.08,4.63%,6841.91,25.28%,2035.83,38.33%
2015-03-12,1.1885,118853710.45,18.85%,91.40%,8.60%,3349.32,3.54%,11635.58,5.64%,6830.31,25.07%,2018.13,37.12%
2015-03-13,1.2045,120450320.58,20.45%,91.51%,8.49%,3372.90,4.27%,11713.61,6.35%,6932.04,26.93%,2069.07,40.58%
2015-03-16,1.2391,123910513.95,23.91%,91.78%,8.22%,3449.30,6.64%,12017.76,9.11%,7193.21,31.72%,2142.67,45.59%
2015-03-17,1.2546,125462968.25,25.46%,91.88%,8.12%,3502.85,8.29%,12169.51,10.49%,7221.12,32.23%,2137.46,45.23%
2015-03-18,1.2770,127700697.89,27.70%,92.03%,7.97%,3577.30,10.59%,12496.24,13.45%,7358.89,34.75%,2182.92,48.32%
2015-03-19,1.2862,128623463.11,28.62%,92.08%,7.92%,3582.27,10.75%,12429.11,12.84%,7373.49,35.02%,2183.88,48.39%
2015-03-20,1.3002,130018055.17,30.02%,92.17%,7.83%,3617.32,11.83%,12544.45,13.89%,7423.81,35.94%,2213.77,50.42%
2015-03-23,1.3328,133278658.71,33.28%,92.36%,7.64%,3687.73,14.01%,12780.32,16.03%,7671.22,40.47%,2293.65,55.84%
2015-03-24,1.3422,134215971.64,34.22%,92.42%,7.58%,3691.40,14.12%,12801.20,16.22%,7765.89,42.20%,2357.97,60.21%
2015-03-25,1.3566,135655741.66,35.66%,92.50%,7.50%,3660.73,13.17%,12757.09,15.82%,7900.50,44.67%,2385.01,62.05%
2015-03-26,1.3398,133984758.96,33.98%,92.40%,7.60%,3682.10,13.83%,12712.98,15.42%,7748.85,41.89%,2291.79,55.72%
2015-03-27,1.3547,135467774.83,35.47%,92.49%,7.51%,3691.10,14.11%,12874.41,16.88%,7877.50,44.25%,2323.82,57.89%
2015-03-30,1.3634,136344251.66,36.34%,92.53%,7.47%,3786.57,17.06%,13193.32,19.78%,7945.12,45.48%,2290.48,55.63%
2015-03-31,1.3678,136779699.24,36.78%,92.59%,7.41%,3747.89,15.87%,13160.66,19.48%,8005.85,46.60%,2335.17,58.67%
2015-04-01,1.4004,140044887.01,40.04%,92.76%,7.24%,3810.29,17.80%,13394.73,21.61%,8233.13,50.76%,2404.91,63.40%
2015-04-02,1.4294,142943722.93,42.94%,92.90%,7.10%,3825.78,18.27%,13426.09,21.89%,8384.17,53.52%,2475.32,68.19%
2015-04-03,1.4571,145709004.56,45.71%,93.04%,6.96%,3863.92,19.45%,13494.63,22.52%,8476.13,55.21%,2510.16,70.55%
2015-04-07,1.4859,148587022.12,48.59%,93.17%,6.83%,3961.37,22.47%,13768.73,25.00%,8596.26,57.41%,2556.70,73.72%
2015-04-08,1.4713,147131836.67,47.13%,93.10%,6.90%,3994.81,23.50%,13841.71,25.67%,8428.13,54.33%,2488.16,69.06%
2015-04-09,1.4576,145763343.13,45.76%,93.04%,6.96%,3957.53,22.35%,13796.73,25.26%,8280.24,51.62%,2496.49,69.63%
2015-04-10,1.4941,149412773.96,49.41%,93.20%,6.80%,4034.31,24.72%,14013.33,27.22%,8519.19,56.00%,2552.83,73.45%
2015-04-13,1.5258,152575758.83,52.58%,93.34%,6.66%,4121.71,27.42%,14149.50,28.46%,8715.12,59.58%,2577.78,75.15%
2015-04-14,1.5268,152681442.33,52.68%,93.35%,6.65%,4135.56,27.85%,14042.46,27.49%,8663.16,58.63%,2558.85,73.86%
2015-04-15,1.4743,147433360.14,47.43%,93.11%,6.89%,4084.15,26.26%,13646.61,23.90%,8340.26,52.72%,2441.74,65.91%
2015-04-16,1.4900,148999361.92,49.00%,93.18%,6.82%,4194.81,29.68%,13967.79,26.81%,8450.19,54.73%,2484.33,68.80%
2015-04-17,1.4969,149688212.51,49.69%,93.22%,6.78%,4287.29,32.54%,14149.33,28.46%,8442.21,54.59%,2463.99,67.42%
2015-04-20,1.4678,146783629.52,46.78%,93.08%,6.92%,4217.07,30.37%,13871.59,25.94%,8214.04,50.41%,2424.85,64.76%
2015-04-21,1.5175,151754495.91,51.75%,93.31%,6.69%,4293.62,32.74%,14439.00,31.09%,8532.51,56.24%,2566.09,74.36%
